Class,Confidence,Width_px,Height_px,Area_px2,Aspect_Ratio
RBC,0.91,87.1,90.5,7885.0,0.96
RBC,0.87,82.2,93.2,7656.8,0.88
RBC,0.83,83.5,91.4,7639.4,0.91
RBC,0.81,81.0,84.2,6822.4,0.96
RBC,0.79,80.3,92.1,7398.4,0.87
RBC,0.79,80.7,83.1,6706.4,0.97
RBC,0.78,85.1,88.5,7531.0,0.96
RBC,0.78,81.3,87.9,7144.3,0.92
RBC,0.78,78.9,80.4,6343.6,0.98
RBC,0.77,78.2,81.2,6345.2,0.96
RBC,0.75,49.6,84.3,4182.5,0.59
RBC,0.75,87.9,88.9,7813.6,0.99
RBC,0.74,86.4,89.9,7763.5,0.96
RBC,0.74,86.6,92.1,7975.1,0.94
RBC,0.73,80.4,84.3,6777.6,0.95
RBC,0.73,78.4,86.2,6756.0,0.91
RBC,0.73,80.5,94.8,7631.5,0.85
RBC,0.71,92.0,89.4,8230.9,1.03
RBC,0.69,81.5,79.2,6458.9,1.03
RBC,0.69,64.0,83.3,5331.5,0.77
RBC,0.69,72.0,87.6,6310.5,0.82
RBC,0.68,84.2,91.6,7705.9,0.92
RBC,0.66,81.9,95.2,7795.9,0.86
RBC,0.65,70.9,86.6,6144.6,0.82
RBC,0.65,57.0,82.2,4683.9,0.69
RBC,0.64,84.1,91.3,7675.6,0.92
RBC,0.64,77.7,75.1,5833.6,1.03
RBC,0.64,84.2,96.9,8160.6,0.87
RBC,0.6,87.6,86.3,7554.4,1.02
RBC,0.59,69.2,87.0,6019.8,0.8
RBC,0.58,81.6,72.8,5935.9,1.12
RBC,0.53,82.5,84.9,7001.4,0.97
RBC,0.53,75.7,79.2,5992.8,0.96
RBC,0.51,39.7,89.1,3540.9,0.45
RBC,0.43,86.9,79.9,6950.5,1.09
