Class,Confidence,Real_Area_px2,Aspect_Ratio
RBC,0.95,2088.8,1.0
RBC,0.95,2360.0,1.04
RBC,0.95,1698.2,0.92
RBC,0.94,1820.4,1.04
RBC,0.94,1976.3,0.94
RBC,0.93,1975.4,1.15
RBC,0.93,1972.4,0.96
RBC,0.93,2178.9,1.15
RBC,0.93,1877.2,0.84
RBC,0.93,568.5,2.65
RBC,0.93,2035.4,0.91
RBC,0.92,562.4,2.39
RBC,0.92,2092.5,1.08
RBC,0.92,695.8,1.32
RBC,0.92,1866.9,0.88
RBC,0.92,1948.8,1.06
RBC,0.91,1886.0,1.04
RBC,0.91,1075.5,1.89
RBC,0.91,1992.9,0.96
RBC,0.9,2228.2,0.93
RBC,0.9,1994.9,1.0
RBC,0.9,1786.1,0.92
RBC,0.89,2057.6,1.02
RBC,0.85,2369.9,0.98
RBC,0.85,2343.3,1.13
RBC,0.85,2144.2,0.95
RBC,0.85,70.4,0.47
RBC,0.83,2336.5,1.04
RBC,0.83,1396.5,0.93
RBC,0.82,1992.0,1.04
RBC,0.81,1868.4,0.88
RBC,0.81,235.2,5.38
RBC,0.81,1230.9,1.53
RBC,0.8,640.0,0.34
RBC,0.8,1865.3,0.78
RBC,0.79,2055.4,0.94
RBC,0.78,864.4,0.45
RBC,0.75,126.8,4.71
RBC,0.71,2255.6,0.78
RBC,0.71,331.5,0.23
RBC,0.7,2149.2,1.08
WBC,0.61,8268.7,1.04
RBC,0.6,984.5,0.54
RBC,0.52,289.4,0.24
WBC,0.49,1846.5,0.79
RBC,0.47,1855.3,1.11
