epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92442,1.5542,3.03726,1.59516,0.0473,0.61989,0.22751,0.12498,1.26704,2.8454,1.26218,0.000460456,0.000460456,0.000460456
2,9.81544,1.3594,1.73537,1.43429,0.84707,0.53551,0.53624,0.36402,1.33058,1.5555,1.26828,0.00091824,0.00091824,0.00091824
3,14.5613,1.27928,1.42723,1.40018,0.63064,0.63459,0.68913,0.38523,1.49261,1.64235,1.39394,0.00135716,0.00135716,0.00135716
4,19.3311,1.29933,1.36253,1.40341,0.78042,0.79336,0.83192,0.52688,1.22552,1.32242,1.29309,0.00134412,0.00134412,0.00134412
5,24.1461,1.24861,1.27337,1.35574,0.81066,0.79199,0.84554,0.54236,1.23067,1.28805,1.27224,0.00131582,0.00131582,0.00131582
6,28.8733,1.19828,1.22707,1.29755,0.79743,0.84903,0.87443,0.5599,1.21508,1.14575,1.23756,0.00128753,0.00128753,0.00128753
7,33.6124,1.19324,1.18711,1.30425,0.84681,0.76618,0.86577,0.5465,1.187,1.40595,1.26496,0.00125923,0.00125923,0.00125923
8,38.3032,1.2116,1.16531,1.30512,0.74265,0.80603,0.84999,0.53814,1.15892,1.07266,1.19012,0.00123094,0.00123094,0.00123094
9,43.0284,1.19736,1.15486,1.29138,0.80857,0.83126,0.87086,0.57613,1.11519,1.03955,1.17173,0.00120265,0.00120265,0.00120265
10,47.776,1.13714,1.12082,1.25814,0.78717,0.83662,0.85847,0.56091,1.1719,1.09882,1.21019,0.00117435,0.00117435,0.00117435
11,52.4482,1.18337,1.08817,1.28364,0.83073,0.84675,0.88757,0.56987,1.14218,1.06012,1.18769,0.00114606,0.00114606,0.00114606
12,57.1519,1.17929,1.04704,1.26481,0.82583,0.86519,0.88242,0.56735,1.23631,1.02302,1.22111,0.00111776,0.00111776,0.00111776
13,61.8518,1.15759,1.07784,1.26571,0.81088,0.88023,0.88539,0.58718,1.11806,1.043,1.14515,0.00108947,0.00108947,0.00108947
14,66.6795,1.13265,1.01408,1.23161,0.81539,0.86246,0.88119,0.55906,1.11654,0.96161,1.19713,0.00106118,0.00106118,0.00106118
15,71.3746,1.1319,1.01887,1.24593,0.82076,0.87437,0.87893,0.57949,1.17068,0.99826,1.19373,0.00103288,0.00103288,0.00103288
16,76.0857,1.14474,1.04187,1.23908,0.84022,0.85616,0.88316,0.5951,1.10026,0.92711,1.15592,0.00100459,0.00100459,0.00100459
17,80.8523,1.1115,1.01359,1.23591,0.71879,0.81872,0.84112,0.54239,1.20464,1.12068,1.23087,0.000976293,0.000976293,0.000976293
18,85.5677,1.13622,0.99351,1.22424,0.80923,0.8437,0.87116,0.57959,1.13126,0.99293,1.17449,0.000947999,0.000947999,0.000947999
19,90.2677,1.11093,0.96364,1.22545,0.82712,0.87223,0.88613,0.59187,1.14154,0.93432,1.21132,0.000919704,0.000919704,0.000919704
20,94.9565,1.14142,1.00639,1.24176,0.84739,0.83708,0.87737,0.56957,1.19826,1.05123,1.20242,0.00089141,0.00089141,0.00089141
21,99.6759,1.12284,0.9646,1.219,0.83136,0.87739,0.88376,0.58937,1.09116,0.89675,1.16137,0.000863116,0.000863116,0.000863116
22,104.331,1.10374,0.94325,1.22059,0.84451,0.8601,0.87499,0.59108,1.09098,0.92542,1.16871,0.000834822,0.000834822,0.000834822
23,109.003,1.13221,0.96606,1.23437,0.84774,0.83634,0.87615,0.59714,1.06701,0.90412,1.17433,0.000806528,0.000806528,0.000806528
24,113.763,1.12799,0.96257,1.24139,0.84967,0.84697,0.88137,0.57837,1.13335,0.89507,1.19956,0.000778233,0.000778233,0.000778233
25,118.45,1.11355,0.93,1.21942,0.85186,0.86,0.8901,0.60731,1.07375,0.88361,1.16605,0.000749939,0.000749939,0.000749939
26,123.218,1.09864,0.90841,1.20764,0.82097,0.86662,0.88697,0.59257,1.11859,0.86842,1.17891,0.000721645,0.000721645,0.000721645
27,127.827,1.08678,0.93068,1.19791,0.82567,0.84853,0.88118,0.60323,1.09841,0.98311,1.15851,0.000693351,0.000693351,0.000693351
28,132.485,1.07522,0.91439,1.19787,0.81774,0.89296,0.89423,0.60157,1.09969,0.85252,1.18542,0.000665057,0.000665057,0.000665057
29,137.143,1.0882,0.89073,1.19626,0.83709,0.86008,0.89389,0.59768,1.10193,0.90487,1.18541,0.000636762,0.000636762,0.000636762
30,141.82,1.07494,0.89542,1.17523,0.8198,0.86804,0.87655,0.57617,1.16174,0.91543,1.19412,0.000608468,0.000608468,0.000608468
31,146.495,1.08106,0.89147,1.18943,0.84975,0.83736,0.8833,0.58996,1.13649,0.86058,1.18155,0.000580174,0.000580174,0.000580174
32,151.159,1.06764,0.87285,1.19056,0.82576,0.86566,0.88458,0.59837,1.08276,0.86009,1.15191,0.00055188,0.00055188,0.00055188
33,156.039,1.0763,0.87986,1.19364,0.80221,0.87199,0.87646,0.59048,1.09461,0.86824,1.17702,0.000523586,0.000523586,0.000523586
34,160.862,1.05341,0.85224,1.17444,0.79661,0.88246,0.88528,0.60202,1.07379,0.83257,1.16389,0.000495291,0.000495291,0.000495291
35,165.556,1.05076,0.85318,1.17704,0.85016,0.8323,0.89862,0.60989,1.08288,0.82427,1.17913,0.000466997,0.000466997,0.000466997
36,170.285,1.04514,0.83903,1.16554,0.82858,0.87495,0.89435,0.60997,1.06903,0.82227,1.16869,0.000438703,0.000438703,0.000438703
37,175.044,1.03475,0.83357,1.16124,0.8073,0.88661,0.88596,0.59807,1.08876,0.81232,1.18127,0.000410409,0.000410409,0.000410409
38,179.767,1.05202,0.84782,1.1714,0.82432,0.87793,0.88858,0.60316,1.06802,0.81384,1.1687,0.000382115,0.000382115,0.000382115
39,184.392,1.03378,0.8334,1.16222,0.84285,0.8486,0.889,0.6013,1.09549,0.84506,1.16758,0.00035382,0.00035382,0.00035382
40,189.054,1.02826,0.82297,1.16582,0.81953,0.87185,0.88696,0.60641,1.07948,0.81564,1.16574,0.000325526,0.000325526,0.000325526
41,200.404,1.02135,0.82735,1.15051,0.85383,0.86157,0.88785,0.61303,1.09222,0.81585,1.1699,0.000297232,0.000297232,0.000297232
42,205.123,1.0179,0.79146,1.13641,0.8452,0.86311,0.89474,0.61473,1.07558,0.85411,1.17816,0.000268938,0.000268938,0.000268938
43,209.796,1.01506,0.80742,1.14781,0.84752,0.8661,0.90125,0.61366,1.07473,0.81973,1.17706,0.000240644,0.000240644,0.000240644
44,214.425,0.99689,0.77578,1.15037,0.879,0.83236,0.90228,0.61501,1.06955,0.81371,1.17632,0.000212349,0.000212349,0.000212349
45,219.096,0.99417,0.76586,1.14257,0.82756,0.89621,0.9058,0.61072,1.0697,0.82234,1.17389,0.000184055,0.000184055,0.000184055
46,223.736,0.99643,0.76501,1.13265,0.8514,0.88404,0.90566,0.60862,1.07579,0.81217,1.18074,0.000155761,0.000155761,0.000155761
47,228.342,1.00392,0.76101,1.1412,0.84414,0.89497,0.90494,0.61689,1.06972,0.79265,1.16658,0.000127467,0.000127467,0.000127467
48,233.005,0.99398,0.74633,1.12753,0.85096,0.88842,0.90549,0.61993,1.06247,0.78749,1.1645,9.91726e-05,9.91726e-05,9.91726e-05
49,237.689,0.98622,0.75311,1.13672,0.84774,0.88233,0.90663,0.62034,1.06203,0.78731,1.16346,7.08784e-05,7.08784e-05,7.08784e-05
