epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.29815,1.21264,3.45295,1.45728,0.07521,0.78929,0.25225,0.10723,0.92175,3.34946,1.20575,0.000439692,0.000439692,0.000439692
2,6.4438,1.06352,2.54131,1.25812,0.21174,0.92043,0.42318,0.26662,1.14055,2.70107,1.17576,0.000855568,0.000855568,0.000855568
3,9.6621,1.0875,1.57296,1.26613,0.23276,0.91921,0.4314,0.25826,1.52915,2.5341,1.37826,0.00120857,0.00120857,0.00120857
4,12.8089,1.07384,1.34047,1.28291,0.94815,0.56973,0.86105,0.50322,1.27557,2.03538,1.2212,0.00114606,0.00114606,0.00114606
5,15.9465,0.99838,1.09852,1.24568,0.81078,0.82734,0.89734,0.58804,1.11283,1.21588,1.12845,0.00105174,0.00105174,0.00105174
6,25.7312,0.95251,1.10532,1.24847,0.80668,0.84663,0.90792,0.55952,1.06108,1.04162,1.11996,0.00095743,0.00095743,0.00095743
7,28.8241,0.89238,0.9678,1.21974,0.95464,0.87965,0.96303,0.6863,0.90767,0.98591,1.11977,0.000863116,0.000863116,0.000863116
8,32.0443,0.83044,0.92986,1.17136,0.95621,0.94991,0.97583,0.77011,0.78304,0.8719,1.07281,0.000768802,0.000768802,0.000768802
9,35.2107,0.81526,0.85227,1.15234,0.95522,0.96219,0.97701,0.7767,0.74326,0.84939,1.06598,0.000674488,0.000674488,0.000674488
10,38.4784,0.80447,0.84235,1.15184,0.95127,0.96848,0.98058,0.80213,0.71899,0.82789,1.06783,0.000580174,0.000580174,0.000580174
11,41.7198,0.77822,0.7865,1.1217,0.96493,0.96241,0.9817,0.80998,0.70232,0.74866,1.06393,0.00048586,0.00048586,0.00048586
12,44.9163,0.76809,0.77436,1.10942,0.96613,0.96644,0.98221,0.81325,0.69225,0.71944,1.05401,0.000391546,0.000391546,0.000391546
13,48.1674,0.75676,0.7634,1.09183,0.97017,0.96539,0.98289,0.81881,0.68265,0.70112,1.04355,0.000297232,0.000297232,0.000297232
14,51.611,0.72528,0.73165,1.07234,0.97592,0.96141,0.98309,0.82509,0.68105,0.69,1.03991,0.000202918,0.000202918,0.000202918
15,55.0309,0.73752,0.7372,1.07656,0.97728,0.96353,0.9833,0.83118,0.66876,0.66964,1.02971,0.000108604,0.000108604,0.000108604
