epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8088,1.20002,2.84611,2.53283,1.23785,0,0.97668,0.56967,0.62732,0.49006,0.95627,0.55254,0.58967,0.42359,1.01248,2.50517,1.72688,1.03867,0,0.000467346,0.000467346,0.000467346
2,29.3166,1.02439,2.33922,1.08604,1.16279,0,0.96684,0.61885,0.6447,0.52623,0.95058,0.60076,0.62002,0.45205,0.85742,2.25229,0.88232,1.06016,0,0.000924994,0.000924994,0.000924994
3,44.1408,0.93435,2.21929,0.91185,1.11842,0,0.98701,0.60889,0.64433,0.53498,0.97379,0.59266,0.63654,0.46123,0.78623,2.45915,0.76217,1.01162,0,0.00136378,0.00136378,0.00136378
4,58.7553,0.91217,2.10271,0.82866,1.10217,0,0.83528,0.82616,0.88847,0.70469,0.81558,0.80782,0.86165,0.62335,0.77531,2.07859,0.7459,0.9928,0,0.00134412,0.00134412,0.00134412
5,73.2586,0.90373,2.08471,0.78242,1.08878,0,0.88206,0.93494,0.92622,0.74384,0.88234,0.93756,0.94385,0.66704,0.74154,1.95484,0.67024,0.9945,0,0.00131582,0.00131582,0.00131582
6,87.5795,0.86526,2.03365,0.74024,1.06642,0,0.91404,0.93154,0.93679,0.74652,0.91744,0.93486,0.94995,0.66272,0.74662,1.90679,0.65512,0.99226,0,0.00128753,0.00128753,0.00128753
7,101.931,0.8348,1.96099,0.69894,1.04534,0,0.8704,0.90146,0.9281,0.74865,0.90437,0.88217,0.93598,0.65266,0.73782,2.05651,0.66327,0.9809,0,0.00125923,0.00125923,0.00125923
8,116.268,0.83463,1.95019,0.69109,1.03966,0,0.88652,0.92403,0.93859,0.74864,0.89266,0.92639,0.94969,0.65597,0.74039,1.97229,0.63388,1.01061,0,0.00123094,0.00123094,0.00123094
9,130.716,0.82627,1.92196,0.6751,1.03118,0,0.86988,0.91731,0.91169,0.73947,0.86969,0.91799,0.92603,0.65731,0.70203,2.04955,0.63603,0.98407,0,0.00120265,0.00120265,0.00120265
10,144.934,0.80719,1.86487,0.64706,1.02001,0,0.87916,0.9804,0.96522,0.7799,0.86607,0.96568,0.94814,0.67893,0.71826,1.90144,0.55063,0.95526,0,0.00117435,0.00117435,0.00117435
11,159.449,0.818,1.86834,0.64237,1.01587,0,0.89326,0.89045,0.93366,0.78313,0.89837,0.89445,0.93419,0.66749,0.68074,1.94501,0.58163,0.9609,0,0.00114606,0.00114606,0.00114606
12,173.719,0.78877,1.83542,0.6228,1.00737,0,0.87112,0.95396,0.9233,0.75257,0.85585,0.93808,0.90354,0.62767,0.70168,1.8425,0.55675,0.96255,0,0.00111776,0.00111776,0.00111776
13,187.796,0.7862,1.8277,0.61749,1.00986,0,0.92333,0.92286,0.96439,0.76571,0.91381,0.91281,0.94444,0.66799,0.72842,1.92534,0.53855,0.96324,0,0.00108947,0.00108947,0.00108947
14,202.264,0.79883,1.82498,0.60124,1.00563,0,0.90508,0.90863,0.93282,0.76026,0.90548,0.90224,0.94611,0.68865,0.68846,1.99306,0.53947,0.9594,0,0.00106118,0.00106118,0.00106118
15,216.437,0.77974,1.78902,0.59401,1.00415,0,0.89653,0.90268,0.92776,0.76947,0.88574,0.88791,0.91028,0.6787,0.67632,1.81971,0.50689,0.95267,0,0.00103288,0.00103288,0.00103288
16,230.681,0.77755,1.81182,0.5921,0.99697,0,0.85983,0.94593,0.9303,0.77237,0.84529,0.93028,0.91205,0.68492,0.69153,1.85545,0.50649,0.96565,0,0.00100459,0.00100459,0.00100459
17,245.351,0.77285,1.74917,0.56733,0.98707,0,0.89102,0.96962,0.9613,0.77138,0.87935,0.95655,0.94682,0.69477,0.67957,1.96701,0.48088,0.95872,0,0.000976293,0.000976293,0.000976293
18,259.724,0.769,1.73007,0.55206,0.98942,0,0.89456,0.95895,0.93483,0.7667,0.8958,0.96098,0.9451,0.68031,0.71901,1.8499,0.49768,0.96778,0,0.000947999,0.000947999,0.000947999
19,274.651,0.76079,1.68833,0.54715,0.98401,0,0.85245,0.9447,0.93467,0.78065,0.89187,0.90591,0.94075,0.6701,0.67937,1.90688,0.46544,0.9619,0,0.000919704,0.000919704,0.000919704
20,289.371,0.76857,1.74056,0.54321,0.99029,0,0.90608,0.9605,0.95337,0.77842,0.90912,0.96006,0.95576,0.70636,0.68439,1.83608,0.45561,0.95747,0,0.00089141,0.00089141,0.00089141
21,304.368,0.75577,1.66526,0.53943,0.9796,0,0.90298,0.95857,0.97276,0.7957,0.88646,0.93954,0.95384,0.7007,0.66184,1.80428,0.46157,0.95422,0,0.000863116,0.000863116,0.000863116
22,319.394,0.75946,1.71696,0.54263,0.98018,0,0.89335,0.93883,0.94698,0.78731,0.87971,0.92529,0.92715,0.67983,0.68029,1.77407,0.44533,0.95008,0,0.000834822,0.000834822,0.000834822
23,334.231,0.74837,1.67873,0.52104,0.97761,0,0.90246,0.96001,0.9686,0.77483,0.88591,0.9435,0.94594,0.68008,0.64555,1.92829,0.4488,0.95342,0,0.000806528,0.000806528,0.000806528
24,349.198,0.7603,1.67967,0.5241,0.97776,0,0.88605,0.95548,0.94088,0.78456,0.88734,0.9585,0.95242,0.69757,0.66614,1.81697,0.451,0.95572,0,0.000778233,0.000778233,0.000778233
25,364.271,0.74237,1.64595,0.51485,0.97284,0,0.93146,0.91483,0.96649,0.79813,0.91823,0.90224,0.94561,0.68268,0.66864,2.06399,0.44221,0.96097,0,0.000749939,0.000749939,0.000749939
26,379.002,0.74172,1.65723,0.50879,0.96924,0,0.90105,0.97536,0.95276,0.7692,0.87184,0.94328,0.9046,0.67539,0.65385,1.90223,0.44185,0.95373,0,0.000721645,0.000721645,0.000721645
27,393.966,0.72909,1.63682,0.496,0.9661,0,0.90307,0.9792,0.96354,0.77506,0.88781,0.96391,0.9449,0.68758,0.65477,1.97629,0.43953,0.95134,0,0.000693351,0.000693351,0.000693351
